Product ID,Section,Specification,Details
15768,Network,Technology,"5G bands	1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 30, 38, 40, 41, 48, 53, 66, 70, 77, 78, 79 SA/NSA/Sub6 - A3106  	1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 53, 66, 70, 71, 77, 78, 79, 258, 260, 261 SA/NSA/Sub6/mmWave - A2849  	1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 53, 66, 70, 71, 75, 76, 77, 78, 79 SA/NSA/Sub6 - A3105"
15768,Network,2G bands,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM)  	CDMA 800 / 1900
15768,Network,3G bands,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100  	CDMA2000 1xEV-DO.
15768,Network,4G bands,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 53, 66 - A3106  	1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 53, 66, 71 - A2849  	1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 53, 66, 71 - A3105  	1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A3108"
15768,Network,Speed,"HSPA, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps"
15768,Network,Dimensions,159.9 x 76.7 x 8.3 mm (6.30 x 3.02 x 0.33 in)
15768,Network,Weight,2217.80
15768,Network,Build,"Glass front (Corning-made glass), glass back (Corning-made glass), titanium frame (grade 5)"
15768,Network,Sim,"Nano-SIM and eSIM - International Dual eSIM with multiple numbers - USA Dual SIM (Nano-SIM, dual stand-by) - China  	IP68 dust/water resistant (up to 6m for 30 min) Apple Pay (Visa, MasterCard, AMEX certified)"
15768,Network,Type,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)"
15768,Network,Size,"6.7 inches, 110.2 cm2 (~89.8% screen-to-body ratio)"
15768,Network,Resolution,"1290 x 2796 pixels, 19.5:9 ratio (~460 ppi density)"
15768,Network,Protection,Ceramic Shield glass  	Always-On display
15768,Network,Os,"iOS 17, upgradable to iOS 17.1"
15768,Network,Chipset,
15768,Network,CPU,Hexa-core (2x3.78 GHz + 4x2.11 GHz)
15768,Network,GPU,Apple GPU (6-core graphics)
15768,Network,Card Slot,No
15768,Network,Internnal,
15768,Network,Features,"Triple	48 MP, f/1.8, 24mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 120mm (periscope telephoto), 1/3.06"", 1.12µm, dual pixel PDAF, 3D sensor‑shift OIS, 5x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF TOF 3D LiDAR scanner (depth)"
15768,Network,Video,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), 3D (spatial) video, stereo sound rec."
15768,Network,Features,"Single	12 MP, f/1.9, 23mm (wide), 1/3.6"", PDAF, OIS SL 3D, (depth/biometrics sensor)"
15768,Network,Video,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS"
15768,Network,Features,
15768,Network,Loudspeaker,"Yes, with stereo speakers"
15768,Network,3.5mm jack,No
15768,Network,WLAN,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot"
15768,Network,Bluetooth,"5.3, A2DP, LE"
15768,Network,GPS,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC"
15768,Network,NFC,
15768,Network,Radio,No
15768,Network,USB,"USB Type-C 3.2 Gen 2, DisplayPort"
15768,Network,Sensors,"Face ID, accelerometer, gyro, proximity, compass, barometer  	Ultra Wideband 2 (UWB) support Emergency SOS via satellite (SMS sending/receiving)"
15768,Network,Others,
15768,Network,Type,"Li-Ion 4441 mAh, non-removable"
15768,Network,Charging,"Wired, PD2.0, 50% in 30 min (advertised) 15W wireless (MagSafe) 7.5W wireless (Qi) 4.5W reverse wired"
15768,Body,Technology,"5G bands	1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 30, 38, 40, 41, 48, 53, 66, 70, 77, 78, 79 SA/NSA/Sub6 - A3106  	1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 53, 66, 70, 71, 77, 78, 79, 258, 260, 261 SA/NSA/Sub6/mmWave - A2849  	1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 53, 66, 70, 71, 75, 76, 77, 78, 79 SA/NSA/Sub6 - A3105"
15768,Body,2G bands,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM)  	CDMA 800 / 1900
