Product Name,Brand,Storage,Color,New Price,Old Price,Savings,id
S928B Galaxy S24 Ultra 5G 256GB 12GB RAM DUOS 6.8 Titanium Gray,samsung,storage 256 GB,ram 12 GB,59990.00 currency,71988.00 currency,youSave 11998.00 currency,16485
S928B Galaxy S24 Ultra 5G 256GB 12GB RAM DUOS 6.8 دولي TITANIUM BLACK,samsung,storage 256 GB,ram 12 GB,53500.00 currency,64200.00 currency,youSave 10700.00 currency,16218
S928B Galaxy S24 Ultra 5G 256GB 12GB RAM DUOS 6.8 دولي Titanium Gray,samsung,storage 256 GB,ram 12 GB,53500.00 currency,64200.00 currency,youSave 10700.00 currency,16220
Samsung Galaxy S23 Ultra ( international guarantee )   (خصم 2% على الدفع النقدى ),samsung,storage 256 GB,ram 12 GB,46500.00 currency,55800.00 currency,youSave 9300.00 currency,13050
Samsung Galaxy S23 Ultra ( international guarantee ) (خصم 2% على الدفع النقدى ),samsung,storage 256 GB,ram 12 GB,46500.00 currency,55800.00 currency,youSave 9300.00 currency,13051
Samsung Galaxy S23 Ultra ( international guarantee ) (خصم 2% على الدفع النقدى ),samsung,storage 256 GB,ram 12 GB,46500.00 currency,55800.00 currency,youSave 9300.00 currency,13052
Samsung Galaxy S23 Ultra ( international guarantee )(خصم 2% على الدفع النقدى ),samsung,storage 256 GB,ram 12 GB,46500.00 currency,55800.00 currency,youSave 9300.00 currency,13053
Samsung S711B Galaxy S23FE 5G Dual SIM 256GB 8GB RAM 6.4,samsung,storage 256 GB,ram 8 GB,29999.00 currency,35998.80 currency,youSave 5999.80 currency,15860
Samsung S711B Galaxy S23FE 5G Dual SIM 256GB 8GB RAM 6.4,samsung,storage 256 GB,ram 8 GB,29999.00 currency,35998.80 currency,youSave 5999.80 currency,15863
A556E Galaxy A55 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Iceblue,samsung,storage 256 GB,ram 8 GB,20500.00 currency,24600.00 currency,youSave 4100.00 currency,16493
A556E Galaxy A55 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Lemon,samsung,storage 256 GB,ram 8 GB,20500.00 currency,24600.00 currency,youSave 4100.00 currency,16732
A556E Galaxy A55 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Navy,samsung,storage 256 GB,ram 8 GB,20500.00 currency,24600.00 currency,youSave 4100.00 currency,16484
A546E Galaxy A54 5G Dual SIM 256GB 8GB RAM 6.4 Awesome White,samsung,storage 256 GB,ram 8 GB,19500.00 currency,23400.00 currency,youSave 3900.00 currency,14311
A546E Galaxy A54 5G Dual SIM 256GB 8GB RAM 6.4 Awesome Lime,samsung,storage 256 GB,ram 8 GB,19500.00 currency,23400.00 currency,youSave 3900.00 currency,14312
A546E Galaxy A54 5G Dual SIM 256GB 8GB RAM 6.4 Awesome Graphite,samsung,storage 256 GB,ram 8 GB,19500.00 currency,23400.00 currency,youSave 3900.00 currency,14313
A556E Galaxy A55 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Navy,samsung,storage 128 GB,ram 8 GB,18990.00 currency,22788.00 currency,youSave 3798.00 currency,16495
A556E Galaxy A55 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Iceblue,samsung,storage 128 GB,ram 8 GB,18990.00 currency,22788.00 currency,youSave 3798.00 currency,16497
A356E Galaxy A35 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Iceblue,samsung,storage 256 GB,ram 8 GB,15990.00 currency,19188.00 currency,youSave 3198.00 currency,16489
A356E Galaxy A35 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Lilac,samsung,storage 256 GB,ram 8 GB,15990.00 currency,19188.00 currency,youSave 3198.00 currency,16490
A356E Galaxy A35 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Navy,samsung,storage 256 GB,ram 8 GB,15990.00 currency,19188.00 currency,youSave 3198.00 currency,16491
A356E Galaxy A35 5G Dual SIM 256GB 8GB RAM 6.6 Awesome Lemon,samsung,storage 256 GB,ram 8 GB,15990.00 currency,19188.00 currency,youSave 3198.00 currency,16705
A356E Galaxy A35 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Lilac,samsung,storage 128 GB,ram 8 GB,14500.00 currency,17400.00 currency,youSave 2900.00 currency,16487
A356E Galaxy A35 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Navy,samsung,storage 128 GB,ram 8 GB,14500.00 currency,17400.00 currency,youSave 2900.00 currency,16488
A356E Galaxy A35 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Iceblue,samsung,storage 128 GB,ram 8 GB,14500.00 currency,17400.00 currency,youSave 2900.00 currency,16483
A356E Galaxy A35 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Lemon,samsung,storage 128 GB,ram 8 GB,14500.00 currency,17400.00 currency,youSave 2900.00 currency,16738
A546E Galaxy A54 5G Dual SIM 256GB 8GB RAM 6.4 مستعمل Awesome Lime,samsung,storage 256 GB,ram 8 GB,14000.00 currency,16800.00 currency,youSave 2800.00 currency,16746
A536E Galaxy A53 5G Dual SIM 128GB 8GB RAM 6.5 Awesome Blue,samsung,storage 128 GB,ram 8 GB,13500.00 currency,16200.00 currency,youSave 2700.00 currency,10177
A536E Galaxy A53 5G Dual SIM 128GB 8GB RAM 6.5 Awesome White,samsung,storage 128 GB,ram 8 GB,13500.00 currency,16200.00 currency,youSave 2700.00 currency,10198
A346E Galaxy A34 5G Dual SIM 128GB 8GB RAM 6.6 Awesome Graphite,samsung,storage 128 GB,ram 8 GB,12990.00 currency,15588.00 currency,youSave 2598.00 currency,15938
A256E Galaxy A25 5G Dual SIM 256GB 8GB RAM 6.5 YELLOW,samsung,storage 256 GB,ram 8 GB,11990.00 currency,14388.00 currency,youSave 2398.00 currency,16627
A346E Galaxy A34 5G Dual SIM 256GB 8GB RAM 6.6 مستعمل Awesome Graphite,samsung,storage 256 GB,ram 8 GB,11950.00 currency,14340.00 currency,youSave 2390.00 currency,16388
M346B Galaxy M34 5G Dual SIM 128GB 8GB RAM,samsung,storage 128 GB,ram 8 GB,10990.00 currency,13188.00 currency,youSave 2198.00 currency,16090
