Product ID,Section,Specification,Details
16485,Network,Technology,
16485,Network,2G bands,
16485,Network,3G bands,.
16485,Network,4G bands,
16485,Network,Speed,
16485,Network,Dimensions,
16485,Network,Weight,0.00
16485,Network,Build,
16485,Network,Sim,
16485,Network,Type,
16485,Network,Size,
16485,Network,Resolution,
16485,Network,Protection,
16485,Network,Os,
16485,Network,Chipset,
16485,Network,CPU,
16485,Network,GPU,
16485,Network,Card Slot,
16485,Network,Internnal,
16485,Network,Features,
16485,Network,Video,
16485,Network,Features,
16485,Network,Video,
16485,Network,Features,
16485,Network,Loudspeaker,
16485,Network,3.5mm jack,
16485,Network,WLAN,
16485,Network,Bluetooth,
16485,Network,GPS,
16485,Network,NFC,
16485,Network,Radio,
16485,Network,USB,
16485,Network,Sensors,
16485,Network,Others,
16485,Network,Type,
16485,Network,Charging,
16485,Body,Technology,
16485,Body,2G bands,
16485,Body,3G bands,.
16485,Body,4G bands,
16485,Body,Speed,
16485,Body,Dimensions,
16485,Body,Weight,0.00
16485,Body,Build,
16485,Body,Sim,
16485,Body,Type,
16485,Body,Size,
16485,Body,Resolution,
16485,Body,Protection,
16485,Body,Os,
16485,Body,Chipset,
16485,Body,CPU,
16485,Body,GPU,
16485,Body,Card Slot,
16485,Body,Internnal,
16485,Body,Features,
16485,Body,Video,
16485,Body,Features,
16485,Body,Video,
16485,Body,Features,
16485,Body,Loudspeaker,
16485,Body,3.5mm jack,
16485,Body,WLAN,
16485,Body,Bluetooth,
16485,Body,GPS,
16485,Body,NFC,
16485,Body,Radio,
16485,Body,USB,
16485,Body,Sensors,
16485,Body,Others,
16485,Body,Type,
16485,Body,Charging,
16485,Display,Technology,
16485,Display,2G bands,
16485,Display,3G bands,.
16485,Display,4G bands,
16485,Display,Speed,
16485,Display,Dimensions,
16485,Display,Weight,0.00
16485,Display,Build,
16485,Display,Sim,
16485,Display,Type,
16485,Display,Size,
16485,Display,Resolution,
16485,Display,Protection,
16485,Display,Os,
16485,Display,Chipset,
16485,Display,CPU,
16485,Display,GPU,
16485,Display,Card Slot,
16485,Display,Internnal,
16485,Display,Features,
16485,Display,Video,
16485,Display,Features,
16485,Display,Video,
16485,Display,Features,
16485,Display,Loudspeaker,
